"month_year","present_at_end_of_match","match_percentage"
"2021-11",False,"14.29"
"2021-12",False,"18.87"
"2022-01",False,"9.05"
"2022-02",False,"13.18"
"2022-03",False,"9.02"
"2022-04",False,"19.59"
"2022-05",False,"23.81"
"2022-06",False,"10.00"
"2022-07",False,"12.50"
"2022-08",False,"19.32"
"2022-09",False,"8.54"
"2022-10",False,"14.00"
"2022-11",False,"19.20"
"2022-12",False,"30.00"
"2023-01",False,"13.77"
"2023-02",False,"18.18"
"2023-03",False,"16.88"
"2023-04",False,"8.51"
"2023-05",False,"18.75"
"2023-06",False,"16.00"
"2023-07",False,"12.50"
"2023-08",False,"15.15"
"2023-09",False,"14.53"
"2023-10",False,"14.29"
"2023-11",False,"16.39"
"2023-12",False,"13.71"
"2024-01",False,"19.07"
"2024-02",False,"21.26"
"2024-03",False,"15.51"
"2024-04",False,"20.66"
"2024-05",False,"16.38"
"2024-06",False,"13.45"
"2024-07",False,"22.41"
